"Path","LineNumber","Text"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\auth\signin.js","302","<Text style={s.sub}>Выберите способ.</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\auth\signin.js","319","<Text style={[s.btnText, { color: ""#0b1220"" }]}>Войти по email</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\auth\signin.js","339","<Text style={[s.btnText, { color: C.text }]}>Зарегистрироваться</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\auth\signin.js","376","<Text style={s.modalTitle}>Вход по email</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\auth\signin.js","400","<Text style={[s.btnText, { color: ""#0b1220"" }]}>Войти</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\auth\signin.js","407","<Text style={[s.btnText, { color: C.text }]}>Отмена</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\auth\signin.js","419","<Text style={s.modalTitle}>Регистрация</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\auth\signin.js","458","<Text style={s.modalTitle}>Подтверждение регистрации</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\auth\signin.js","492","<Text style={[s.btnText, { color: C.text }]}>Назад</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\auth\signin.js","505","<Text style={[s.btnText, { color: C.text }]}>Отмена</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\auth\signin.js","515","<Text style={s.modalTitle}>Смена пароля</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\auth\signin.js","544","<Text style={[s.btnText, { color: C.text }]}>Отмена</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\auth\signup.js","73","<Text style={s.title}>Регистрация</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\auth\signup.js","75","<Text style={s.label}>Ник</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\auth\signup.js","85","<Text style={s.label}>E-mail</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\auth\signup.js","96","<Text style={s.label}>Пароль</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\auth\verify.js","66","<Text style={s.title}>Подтверждение Email</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\explain-pro.js","860","<Text style={st.title}>Объяснение PRO</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\explain-pro.js","868","<Text style={st.h2}>Режим анализа</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\explain-pro.js","885","<Text style={st.h2}>Быстрый выбор</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\explain-pro.js","909","<Text style={st.h2}>Введи тикер с Binance</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\explain-pro.js","930","<Text style={st.btnText}>Анализ</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\explain-pro.js","949","<Text style={st.h2}>Индикаторы</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\explain-pro.js","956","<Text style={st.h2}>Сводка PRO</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\explain-pro.js","1031","<Text style={st.h2}>Индекс риска</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\explain-pro.js","1094","<Text style={st.h2}>Вероятности сценариев</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\explain-pro.js","1117","<Text style={st.h2}>Положение в цикле (ATH / ATL)</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\explain-pro.js","1162","<Text style={st.h2}>Волатильность за 7 дней</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\explain-pro.js","1182","<Text style={st.h2}>Относительная сила к BTC</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\explain-pro.js","1226","<Text style={st.h2}>Профиль монеты (PRO)</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\explain-pro.js","1249","<Text style={st.h2}>Сигналы (PRO)</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\explain-pro.js","1291","<Text style={st.h2}>Тестер стратегии (7д)</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\explain-pro.js","1310","<Text style={st.h2}>Твоя история по этой монете</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\explain-pro.js","1366","<Text style={st.h2}>Сравнение тикеров</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\explain-pro.js","1402","<Text style={st.btnText}>Анализ 1</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\explain-pro.js","1413","<Text style={st.btnText}>Анализ 2</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\explain-pro.js","1438","<Text style={st.mini}>Нет данных</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\explain-pro.js","1459","<Text style={st.mini}>Нет данных</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\explain-pro.js","1471","<Text style={st.h2}>Что даёт PRO</Text>"
"C:\Users\Home-PC\Desktop\noytrix-s54\app\settings.js","314","<Text style={s.title}>Р СњР В°РЎРѓРЎвЂљРЎР‚Р С•Р в„–Р С”Р С‘</Text>"
